Disease,Count of Disease Occurrence,Symptom,Treatment
neoplasm,297,mass of body structure;lesion;pain chest;hematuria;tumor cell invasion,"Treatments may include surgery, chemotherapy and radiation therapy."
embolism pulmonary,294,shortness of breath;hypoxemia;tachypnea;hematocrit decreased;pain chest,Treatment consists of blood thinners Prompt treatment to break up the clot greatly reduces the risk of death. This can be done with blood thinners and drugs or procedures. Compression stockings and physical activity can help prevent clots from forming in the first place. Medications Anticoagulant
epilepsy,290,seizure;hypometabolism;aura;muscle twitch;drowsiness,"Treatment consists of anti-convulsants Epilepsy is usually treated by medication and in some cases by surgery, devices or dietary changes. Medications Nerve pain medication, Sedative and Anticonvulsant"
cardiomyopathy,283,shortness of breath;orthopnea;hypokinesia;jugular venous distention;palpitation,"Treatment consists of ace inhibitors and diuretics Treatments include drugs, implanted devices, surgery and in severe cases, transplant. Medications Anticoagulant, Beta blocker, ACE inhibitor, Diuretic, Antihypertensive drug, Statin and Antiarrhythmic Medical procedure Cardiac catheterization and Revascularization Surgery Coronary artery bypass surgery and Heart transplant Devices Pacemaker and Implantable cardioverter defibrillator"
chronic kidney failure,280,vomiting;orthopnea;hyperkalemia;oliguria;jugular venous distention,"Treatment depends on severity Medication helps manage symptoms. In later stages, filtering the blood with a machine (dialysis) or a transplant may be required. Medical procedure Peritoneal dialysis, Hemofiltration and Dialysis Self-care Low protein diet Medications Vitamin, Calcium reducer, Bone marrow stimulant, Diuretic and Dietary supplement Surgery Kidney transplantation"
carcinoma,269,mass of body structure;pain;lesion;tumor cell invasion;thicken,"Treatment for carcinoma varies depending on the type, location and extent of the disease, but may include: Surgery, Radiation Therapy and Chemotherapy"
hepatitis C,269,ascites;distended abdomen;feeling suicidal;cough;ache,"Treatment consists of HCV antivirals Hepatitis C is treated with antiviral medication. In some people, newer medicines can eradicate the virus. Medications Antiviral drug Self-care Avoid alcohol Surgery Liver transplantation"
peripheral vascular disease,268,shortness of breath;rest pain;angina pectoris;unresponsiveness;hyperkalemia,"Treatment consists of self care and blood thinners Tobacco cessation, exercise and a healthy diet are often successful treatments. When these changes aren't enough, medication or surgery can help. Self-care Physical exercise, Quitting smoking and Heart-Healthy diet Medications Statin, Vasodilator and Anticoagulant Medical procedure Angioplasty"
psychotic disorder,267,suicidal;hallucinations auditory;feeling suicidal;hallucinations visual;motor retardation,"Treatment consists of anti-psychotics Treatment may include medication and talk therapy. Supportive care Hospitalization Medications Antipsychotic Therapies Cognitive behavioral therapy, Psychoeducation and Family therapy"
hyperlipidemia,247,pain chest;angina pectoris;palpitation;presence of q wave;photopsia,"Treatment consists of self care Treatments include medication, a healthy diet and exercise. Self-care Aerobic exercise, Weight loss and Low fat diet Medications Statin and Cholesterol medication"
bipolar disorder,241,feeling suicidal;energy increased;suicidal;irritable mood;agitation,"Treatment consists of medications and therapy Treatment is usually lifelong and often involves a combination of medications and psychotherapy. Therapies Support group, Cognitive behavioral therapy, Psychoeducation, Family therapy and Psychotherapy Medications Anticonvulsant, Antipsychotic and SSRIs Supportive care Hospitalization"
obesity,228,pain;catatonia;snore;pain chest;r wave feature,"Treatment consists of self care The mainstay of treatment is lifestyle changes such as diet and exercise. Self-care Physical exercise, Weight loss, Low carbohydrate diet and Low fat diet Therapies Behaviour therapy"
ischemia,226,drowsiness^sleepy;pain chest;angina pectoris;pressure chest;chest discomfort,"Treatment consists of self care and blood thinners Treatments include lifestyle changes, medication, angioplasty and surgery. Self-care Quitting smoking, Weight loss, Physical exercise and Low fat diet Medications Statin, Anticoagulant, Beta blocker, Antianginal and Calcium channel blocker Medical procedure Coronary stent and Angioplasty Surgery Coronary artery bypass surgery"
cirrhosis,218,ascites;fall;splenomegaly;pruritus;pain abdominal,"Treatment varies Treatments focus on the underlying cause. In advanced cases, a liver transplant may be required. Self-care Low sodium diet and Avoid alcohol Medications Diuretic, Ammonia reducer, Beta blocker, Antibiotics and Antiviral drug Medical procedure Rubber band ligation, Therapeutic endoscopy and Transjugular intrahepatic portosystemic shunt Surgery Liver transplantation"
exanthema,208,fever;pruritus;macule;lesion;redness,"Treatment consists of pain medications Treatment includes bed rest, fluids and medication to reduce fever. Supportive care Fluid replacement Self-care Bed rest Medications Analgesic and Nonsteroidal anti-inflammatory drug"
benign prostatic hypertrophy,192,mental status changes;cachexia;blackout;orthostasis;orthopnea,"Treatment consists of supportive care and urinary retention medications Treatments include medication that relaxes or shrinks the prostate, surgery and minimally invasive surgery. Medications Urinary retention medication Supportive care Monitoring for changes or improvement"
kidney failure acute,186,hyperkalemia;hypotension;hypocalcemia result;oliguria;hemodynamically stable,"Treatment varies In addition to addressing the underlying cause, treatments include fluids, medication and dialysis. Medications Diuretic Medical procedure Dialysis Devices Ureteral stent Supportive care Fluid replacement"
mitral valve insufficiency,186,shortness of breath;dyspnea on exertion;asymptomatic;hypokinesia;dyspnea,"Treatment depends on severity Some people may not need treatment. More severe cases may require medication, such as diuretics and blood thinners, or surgery. Supportive care Monitoring for changes or improvement Self-care Low sodium diet Surgery Mitral valve replacement and Mitral valve repair"
arthritis,179,pain;hemodynamically stable;sleeplessness;asthenia;syncope,"Treatment consists of self care and therapy Medication, physiotherapy or sometimes surgery helps reduce symptoms and improve quality of life. Therapies Hydrotherapy, Stretching, Massage and Acupuncture Self-care Physical exercise, Weight loss, Yoga, Heating pad, Ice packs and Cold compress Surgery Hip replacement, Knee replacement and Joint replacement Medications Nonsteroidal anti-inflammatory drug, Steroid, Analgesic, Narcotic and Immunosuppressive drug"
bronchitis,172,cough;wheezing;shortness of breath;chest tightness;fever,"Treatment consists of self care and cough medications Treatments usually includes soothing remedies to help with coughing, which may last weeks. Antibiotics are not usually recommended. Supportive care Can be self-healing Medications Nonsteroidal anti-inflammatory drug, Analgesic, Narcotic and Cough medicine Self-care Throat lozenge and Quitting smoking"
hemiparesis,171,dysarthria;paresis;asthenia;aphagia;seizure,"Treatment consists of blood thinners Early treatment with medication like tPA (clot buster) can minimise brain damage. Other treatments focus on limiting complications and preventing additional strokes. Medications Alteplase, Anticoagulant, Statin, Antihypertensive drug and ACE inhibitor Supportive care Cardiac monitoring Surgery Carotid endarterectomy Therapies Speech therapy, Rehabilitation, Occupational Therapy, Physical Therapy and Stroke rehabilitation"
osteoporosis,169,prostatism;fall;hirsutism;sniffle;distended abdomen,"Treatment consists of supplements and diet modifications Treatment includes medication, a healthy diet and weight-bearing exercise to help prevent bone loss or strengthen already weak bones. Self-care Healthy diet and Physical exercise Medications Vitamin, Dietary supplement, Antacid, Bone health and Hormone"
transient ischemic attack,168,speech slurred;dysarthria;facial paresis;asthenia;neck stiffness,"Treatment consists of blood thinners Treatment includes medication, surgery and healthy lifestyle changes. Medications Anticoagulant and Statin Supportive care Cardiac monitoring Self-care Quitting smoking Surgery Carotid endarterectomy"
paranoia,165,hallucinations auditory;hallucinations visual;agitation;irritable mood;verbal auditory hallucinations,"Treatment consists of medications and therapy Treatment includes different types of psychotherapy as well as medications to manage symptoms. Therapies Cognitive behavioral therapy, Eye movement desensitization and reprocessing and Exposure and response prevention Medications SSRIs"
pancreatitis,165,vomiting;pain abdominal;nausea;pain;diarrhea,"Treatment consists of diet modifications and fluids Treatment usually requires hospitalisation. Once they stabilise the patient, doctors treat the underlying cause. Supportive care IV fluids and Fluid replacement Self-care Low fat diet, Clear liquid diet and Fasting from food and drink Surgery Cholecystectomy"
incontinence,165,paraparesis;seizure;asthenia;urge incontinence;unconscious state,"Doing pelvic floor exercises, avoiding caffeine and alcohol, and wearing absorbent undergarments may help reduce urinary incontinence. Bladder retraining that involves gradually increasing time until urination may also help."
paroxysmal dyspnea,165,orthopnea;shortness of breath;dyspnea on exertion;jugular venous distention;rale,"Asthma can usually be managed with rescue inhalers to treat symptoms (salbutamol) and controller inhalers that prevent symptoms (steroids). Severe cases may require longer-acting inhalers that keep the airways open (formoterol, salmeterol, tiotropium), as well as inhalant steroids."
hernia,164,pain abdominal;pain;hyperventilation;excruciating pain;gag,"Treatment consists of supportive care Treatment includes monitoring the condition. If required, surgery can return tissue to its normal location and close the opening. Supportive care Monitoring for changes or improvement Surgery Laparoscopic surgery and Hernia repair Devices Supportive device"
malignant neoplasm of prostate^carcinoma prostate,163,hematuria;dysesthesia;asthenia;polymyalgia;passed stones,"Treatment depends on stage Some types of prostate cancer grow slowly. In some of these cases, monitoring is recommended. Other types are aggressive and require radiation, surgery, hormone therapy, chemotherapy or other treatments. Supportive care Palliative care and Monitoring for changes or improvement Medical procedure Particle therapy, Teletherapy, Brachytherapy and Radiation therapy Surgery Laparoscopic radical prostatectomy, Radiosurgery, Prostatectomy, Radical retropubic prostatectomy and Laparoscopic surgery Medications Hormone Associated Therapy, Bone health, Chemotherapy, Hormone and Urinary retention medication"
edema pulmonary,161,urgency of micturition;shortness of breath;rale;tachypnea;orthopnea,Treatment consists of diuretics Treatment generally includes supplemental oxygen and medication. Self-care Low sodium diet Medications Diuretic and Antianginal Supportive care Oxygen therapy
lymphatic diseases,160,pain;mass of body structure;night sweat;splenomegaly;lesion,"Treatment consists of devices and therapy Exercise, wrapping, massage and compression can help. Devices Elastic bandage and Compression stockings Self-care Physical exercise and Moisturizer Therapies Stretching"
stenosis aortic valve,158,dyspnea on exertion;syncope;chest discomfort;systolic murmur;sciatica,"Treatment depends on severity Mild cases may not need treatment. In severe cases, surgery can repair or replace the valve. Medications Diuretic Surgery Aortic valve replacement and Balloon valvuloplasty"
malignant neoplasm of breast^carcinoma breast,152,mass in breast;mass of body structure;paresthesia;retropulsion;erythema,"Treatment depends on stage Its treatment depends on the stage of cancer. It may consist of chemotherapy, radiation, hormone therapy and surgery. Surgery Mammaplasty, Tissue expansion, Lymph node dissection, Lumpectomy and Mastectomy Medical procedure Teletherapy and Radiation therapy Medications Estrogen modulator, Chemotherapy, Hormone based chemotherapy and Bone health"
schizophrenia,147,hallucinations auditory;hypersomnolence;irritable mood;verbal auditory hallucinations;patient non compliance,"Treatment consists of medications and therapy Treatment is usually lifelong and often involves a combination of medications, psychotherapy and coordinated speciality care services. Medications Antipsychotic and Anti-Tremor Therapies Support group, Rehabilitation, Cognitive therapy, Psychoeducation, Family therapy, Behaviour therapy and Group psychotherapy"
diverticulitis,145,pain abdominal;abscess bacterial;dullness;red blotches;diarrhea,"Treatment consists of diet modifications and antibiotics Treatment can include rest, a liquid or low-fibre diet and antibiotics. Severe cases may need hospital care and surgery. Doctors may recommend a high-fibre diet after recovery to prevent future episodes. Medications Antibiotics, Penicillin and Dietary supplement Supportive care IV fluids Self-care Clear liquid diet and Rest"
overload fluid,144,rale;jugular venous distention;hyperkalemia;orthopnea;shortness of breath,"Treatment depends on severity Treatments include medication, such as diuretics, and a low-salt diet. Any underlying conditions need treatment. Medications Diuretic Self-care Low sodium diet Medical procedure Renal replacement therapy and Dialysis"
ulcer peptic,143,pain abdominal;paraparesis;nausea;vomiting;polymyalgia,"Treatment consists of antacids Treatment usually includes medication to decrease stomach acid production. If it is caused by bacteria, antibiotics may be required. Medications Antibiotics, Proton-pump inhibitor, Penicillin, Antidiarrhoeal and Antacid Medical procedure Therapeutic endoscopy"
osteomyelitis,142,pain;redness;prostate tender;fever;difficulty passing urine,"Treatment consists of procedures and antibiotics Treatment is usually surgery to remove portions of bone that have died. This is followed by strong antibiotics, often by an IV, for at least six weeks. Medical procedure Incision and drainage and Removal of unhealthy tissue Medications Antibiotics and Penicillin"
gastritis,140,heme positive;pain abdominal;vomiting;disequilibrium;nausea,"Treatment consists of antacids Treatment depends on the cause. Antibiotics and antacids might help. Medications Antacid, Proton-pump inhibitor, Penicillin, Antibiotics and Antidiarrhoeal"
bacteremia,142,fever;chill;flushing;unresponsiveness;indifferent mood,"Treatment for bacteremia is with antibiotics, and prevention with antibiotic prophylaxis can be given in high risk situations. These include HIV infection. Diabetes Mellitus. Chronic hemodialysis. Solid organ transplant. Stem cell transplant. Treatment with glucocorticoids. Liver failure. Asplenia."
sickle cell anemia,140,breakthrough pain;pain back;pain;shortness of breath;snuffle,"Treatment depends on severity Treatments include medication, blood transfusions and rarely a bone-marrow transplant. Devices Patient-controlled analgesia Medications Narcotic, Chemotherapy, Vitamin and Blood transfusion"
upper respiratory infection,135,cough;throat sore;wheezing;shortness of breath;labored breathing,"Treatment depends on severity Treatment includes rest and medication to relieve symptoms. Supportive care Rehydration Self-care Nasal washing and Throat lozenge Medications Cough medicine, Nonsteroidal anti-inflammatory drug, Analgesic and Dietary supplement"
hypertension pulmonary,128,shortness of breath;Stahli's line;heavy legs;breath sounds decreased;neck stiffness,"Treatment depends on severity The condition worsens over time, but medication and oxygen therapy can help lessen symptoms and improve quality of life. Supportive care Oxygen therapy Medications Vasodilator Self-care Physical exercise"
deglutition disorder,126,paresthesia;titubation;dysarthria;painful swallowing;hoarseness,"Difficulty swallowing associated with GERD can be treated with prescription oral medications to reduce stomach acid. You may need to take these medications for an extended period. If you have eosinophilic esophagitis, you may need corticosteroids. If you have esophageal spasm, smooth muscle relaxants may help."
gout,124,hot flush;pain;redness;swelling;erythema,"Treatment consists of self care and anti-inflammatories During an acute attack, anti-inflammatory medication (NSAIDs) can help to relieve pain and shorten the duration of the attack. Patients with chronic gout can use behavioural modification such as diet, exercise and decreased intake of alcohol to help minimise the frequency of attacks. Additionally, patients with chronic gout are often put on medication to reduce uric acid levels. Self-care Physical exercise, Weight loss and Ice packs Medications Analgesic, Uric acid reducer, Nonsteroidal anti-inflammatory drug, Anti-inflammatory and Steroid"
thrombocytopaenia,123,ecchymosis;monocytosis;posterior rhinorrhea;haemorrhage;tachypnea,Avoiding activities that could cause injury may help to prevent bleeding. It may help to limit alcohol intake and avoid medications such as aspirin and ibuprofen.
hypoglycemia,122,"unresponsiveness;hypothermia, natural;incoherent;qt interval prolonged;lameness^claudication",Avoiding activities that could cause injury may help to prevent bleeding. It may help to limit alcohol intake and avoid medications such as aspirin and ibuprofen.
pneumonia aspiration,119,mediastinal shift;fever;clonus;mental status changes;decreased translucency,Antibiotics are given to treat pneumonia caused by bacteria. You may be given antibiotics as pills or through your IV. Steroids are given to reduce swelling in your lungs. You may need extra oxygen if your blood oxygen level is lower than it should be.
colitis,114,fever;thicken;green sputum;vomiting;nausea and vomiting,"Treatment consists of anti-inflammatory medications Treatment includes medication and surgery. Medications Nonsteroidal anti-inflammatory drug, Antibiotics, Anti-inflammatory, Immunosuppressive drug, Steroid, Analgesic and Dietary supplement Surgery Colostomy, Ileostomy, Colectomy and Proctocolectomy Supportive care IV fluids Medical procedure Enema"
diverticulosis,114,fecaluria;constipation;abscess bacterial;heme positive;lightheadedness,Treatment consists of diet modifications Treatment generally isn't required unless there is inflammation (diverticulitis). Supportive care Monitoring for changes or improvement Self-care Dietary fiber Medications Dietary supplement
suicide attempt,114,hallucinations auditory;sleeplessness;suicidal;motor retardation;weepiness,"Treatment of suicidal thoughts and behavior depends on your specific situation, including your level of suicide risk and what underlying problems may be causing your suicidal thoughts or behavior."
hepatitis B,111,inappropriate affect;tachypnea;yellow sputum;projectile vomiting;poor feeding,Treatment depends on severity The condition often clears up on its own. Chronic cases require medication and possibly a liver transplant. Medications Antiviral drug Self-care Avoid alcohol
parkinson disease,108,achalasia;fall;stiffness;withdraw;agitation,"Treatment consists of medications to increase dopamine Medication can help control the symptoms of Parkinson's. Medications Dopamine promoter, Antidepressant, Cognition-enhancing medication and Anti-Tremor Self-care Physical exercise"
lymphoma,105,lesion;fever;welt;transaminitis;decreased body weight,"Treatment depends on stage Treatment may involve chemotherapy, medication, radiation therapy and rarely stem-cell transplant. Medications Chemotherapy, Bone marrow stimulant, Steroid and Blood transfusion Surgery Autotransplantation"
hyperglycemia,104,sore to touch;pruritus;feeling strange;pustule;cushingoid facies^cushingoid habitus,"If a medical test shows high blood sugar, it's best to repeat the test to confirm the results. If insulin or diabetes medication is prescribed, taking it as directed by the doctor may help control blood sugar. Regular physical activity may also help."
encephalopathy,103,uncoordination;asterixis;haemorrhage;drowsiness^sleepy;absences finding,"Treatment varies Treatment, such as anti-seizure medication, may help manage some symptoms. Antiviral medication may be used to treat encephalitis caused by a viral infection. Medications Ammonia reducer, Antibiotics and Vitamin Medical procedure Hemodialysis"
tricuspid valve insufficiency,101,shortness of breath;pain;vomiting;nausea;bradycardia,"It may help to treat any underlying medical conditions, such as high blood pressure, to reduce the symptoms associated with tricuspid regurgitation. In some instances, tricuspid regurgitation will require surgical repair. Surgeons also can replace the tricuspid valve."
Alzheimer's disease,101,drool;agitation;nightmare;rhonchus;consciousness clear,"Treatment consists of cognition enhancing medications No cure exists, but medication and management strategies may temporarily improve symptoms. Medications Cognition-enhancing medication Self-care Physical exercise"
candidiasis^oral candidiasis,99,diarrhea;throat sore;decreased body weight;chill;headache,"Treatment consists of anti-fungals Unsweetened yoghurt or an anti-fungal medication can help. Medications Antifungal, Topical antiseptic and Dietary supplement Self-care Throat lozenge"
neuropathy,99,asthenia;numbness;nausea and vomiting;awakening early;hydropneumothorax,"Treatment consists of nerve pain medications Treatments include antidepressants such as amitriptyline, pain medication such as oxycodone, anti-seizure medication and pain-relieving creams. It's also important to treat the underlying condition. Medications Anticonvulsant, Nerve pain medication, Analgesic, Local anesthetic and Narcotic"
kidney disease,96,shortness of breath;hyperkalemia;pain chest;fever;gravida 0,"Treatment depends on severity Medication helps manage symptoms. In later stages, filtering the blood with a machine (dialysis) or a transplant may be required. Medical procedure Peritoneal dialysis, Hemofiltration and Dialysis Self-care Low protein diet Medications Vitamin, Calcium reducer, Bone marrow stimulant, Diuretic and Dietary supplement Surgery Kidney transplantation"
fibroid tumor,96,para 2;haemorrhage;abortion;intermenstrual heavy bleeding;muscle hypotonia^hypotonic,"Treatment depends on severity Treatments include medication and removal of the fibroid. Supportive care Monitoring for changes or improvement Devices Progestin IUD Medications Birth control, Hormone and Sex hormone suppression Surgery Hysterectomy, Uterine myomectomy and Laparoscopic surgery Medical procedure Ablation, Uterine artery embolization and Endometrial ablationa"
glaucoma,95,fall;distended abdomen;unsteady gait;paresthesia;hyponatremia,"Treatment consists of anti-glaucoma medications Treatment includes eye drops, medication and surgery. Medications Glaucoma medication and Beta blocker Surgery Laser surgery Medical procedure Trabeculoplasty"
neoplasm metastasis,94,thicken;tumor cell invasion;metastatic lesion;pain neck;lung nodule,Treatment may include chemotherapy or hormone therapy. Surgery and radiation therapy may also be options for some types of cancer. Doctors might try one type of treatment and then switch to another when the first treatment no longer works. Or you might have a combination of treatments.
malignant tumor of colon^carcinoma colon,94,lesion;prostatism;constipation;general discomfort;diarrhea,"Depending on the size and extent of spread of the cancer, patients may need to undergo a surgery, removing part or all of the colon, in order to remove the tumor. For some patients, an ileostomy or colostomy may be needed, which diverts bowel content into an external bag. Advanced cases may require radiation therapy treatments (usually combined with chemotherapy) prior to surgery."
ketoacidosis diabetic,93,polyuria;vomiting;nausea;pain abdominal;milky,Treatment consists of fluids Hospital treatment to replace fluids and electrolytes and provide insulin therapy may be required. Supportive care Cardiac monitoring and Fluid replacement Medications Insulin and Dietary supplement
tonic-clonic epilepsy^tonic-clonic seizures,92,drowsiness;lip smacking;myoclonus;tremor;phonophobia,Treatment consists of anti-convulsants Many people will have only one such seizure in their lifetime. Others may need daily anti-seizure medication to prevent recurrence. Medications Sedative and Anticonvulsant
respiratory failure,90,hemiplegia;snore;unresponsiveness;productive cough;dyspnea,"A person with acute respiratory failure will typically require extra oxygen. This may come in the form of mechanical ventilation, which involves a doctor inserting a plastic tube down a person’s windpipe. The tube sits below the vocal cords and can deliver oxygen and pressure to inflate the lungs more effectively."
melanoma,87,mass of body structure;paraparesis;fever;gravida 0;pain,"Treatment depends on stage Treatment may involve surgery, radiation, medication or in some cases, chemotherapy. Medical procedure Radiation therapy and Mohs surgery Surgery Skin grafting and Wide local excision Medications Antiviral drug, Chemotherapy and Immunotherapy"
gastroenteritis,87,pain abdominal;breath-holding spell;nausea;decreased body weight;sore to touch,"Treatment consists of fluids Avoiding contaminated food and water and washing hands can often help prevent infection. Rest and rehydration are the mainstays of treatment. Supportive care Can be self-healing, Fluid replacement, Oral rehydration therapy and IV fluids Medications Antibiotics and Dietary supplement"
malignant neoplasm of lung^carcinoma of lung,86,lesion;cough;lung nodule;shortness of breath;haemoptysis,"Treatment depends on stage Treatments vary but may include surgery, chemotherapy, radiation therapy, targeted drug therapy and immunotherapy. Self-care Quitting smoking Medications Chemotherapy and Targeted therapy Surgery Pulmonary lobectomy, Wedge resection and Video-assisted thoracoscopic surgery Medical procedure Thoracotomy and Radiation therapy Supportive care Palliative care"
manic disorder,85,energy increased;suicidal;hypersomnia;feeling suicidal;blanch,Seeking medical care Make an appointment to see a doctor if you Have symptoms of depression or mania Seek emergency help if you Have suicidal thoughts Might harm yourself or others
personality disorder,84,nightmare;feeling hopeless;transsexual;hallucinations auditory;irritable mood,"Psychotherapy, also called talk therapy, is the main way to treat personality disorders.However, several types of psychiatric medications may help with various personality disorder symptoms. Antidepressants. ... Mood stabilizers. ... Antipsychotic medications. ... Anti-anxiety medications."
primary carcinoma of the liver cells,82,mass of body structure;splenomegaly;lesion;paresis;tumor cell invasion,"Treatment depends on stage Treatments vary but may include removal of part of the liver, transplant, chemotherapy and in some cases, radiation. Medications Chemotherapy Medical procedure Cryoablation, Percutaneous ethanol injection, Embolization, Transarterial chemoembolization, SIR-Spheres and Radiofrequency ablation Surgery Liver transplantation and Hepatectomy"
